idprojeto,id_pracao_marco,data,tipo_data,data_inclusao,usuario_inclusao,data_atualizacao,usuario_alteracao
2028,70,2022-02-28,di,2022-02-18 19:21:11,lsoares,2022-02-18 19:21:11,lsoares
2028,71,2022-02-28,di,2022-02-18 19:23:03,lsoares,2022-02-18 19:23:03,lsoares
2028,72,2022-02-28,di,2022-02-18 19:24:54,lsoares,2022-02-18 19:24:54,lsoares
2028,79,2022-12-31,di,2022-02-18 19:46:34,lsoares,2022-02-18 19:46:34,lsoares
2028,80,2022-12-31,di,2022-02-18 19:47:37,lsoares,2022-02-18 19:47:37,lsoares
2028,81,2023-12-31,di,2022-02-18 19:48:46,lsoares,2022-02-18 19:48:46,lsoares
2028,82,2023-12-31,di,2022-02-18 19:48:47,lsoares,2022-02-18 19:48:47,lsoares
2028,83,2023-12-31,di,2022-02-18 19:50:59,lsoares,2022-02-18 19:50:59,lsoares
2028,84,2024-12-31,di,2022-02-18 19:53:00,lsoares,2022-02-18 19:53:00,lsoares
2028,85,2024-12-31,di,2022-02-18 19:54:23,lsoares,2022-02-18 19:54:23,lsoares
2028,86,2024-12-31,di,2022-02-21 16:17:16,lsoares,2022-02-21 16:17:16,lsoares
2028,87,2023-08-31,di,2022-02-21 16:20:52,lsoares,2022-02-21 16:20:52,lsoares
2028,88,2024-11-30,di,2022-02-21 16:30:24,lsoares,2022-02-21 16:30:24,lsoares
2028,89,2023-12-31,di,2022-02-21 16:38:43,lsoares,2022-02-21 16:38:43,lsoares
2028,90,2024-12-31,di,2022-02-21 16:41:53,lsoares,2022-02-21 16:41:53,lsoares
2028,91,2022-08-21,di,2022-02-21 16:45:04,lsoares,2022-02-21 16:45:04,lsoares
2028,92,2022-09-30,di,2022-02-21 16:54:11,lsoares,2022-02-21 16:54:11,lsoares
2028,93,2022-10-31,di,2022-02-21 16:57:04,lsoares,2022-02-21 16:57:04,lsoares
2028,94,2023-02-28,di,2022-02-21 17:14:36,lsoares,2022-02-21 17:14:36,lsoares
2028,95,2022-05-31,di,2022-02-21 17:16:15,lsoares,2022-02-21 17:16:15,lsoares
2028,96,2023-05-31,di,2022-02-21 17:18:32,lsoares,2022-02-21 17:18:32,lsoares
2028,97,2022-05-31,di,2022-02-21 17:22:37,lsoares,2022-02-21 17:22:37,lsoares
2028,98,2024-11-30,di,2022-02-21 17:26:29,lsoares,2022-02-21 17:26:29,lsoares
2028,99,2024-11-30,di,2022-02-21 17:28:25,lsoares,2022-02-21 17:28:25,lsoares
2028,100,2024-11-30,di,2022-02-21 17:30:46,lsoares,2022-02-21 17:30:46,lsoares
2028,101,2022-06-30,di,2022-02-21 17:33:04,lsoares,2022-02-21 17:33:04,lsoares
2028,102,2023-12-31,di,2022-02-21 17:34:48,lsoares,2022-02-21 17:34:48,lsoares
2028,103,2022-09-30,di,2022-02-21 17:38:37,lsoares,2022-02-21 17:38:37,lsoares
2028,104,2022-10-31,di,2022-02-21 17:40:34,lsoares,2022-02-21 17:40:34,lsoares
2028,105,2022-12-31,di,2022-02-21 17:42:52,lsoares,2022-02-21 17:42:52,lsoares
2028,106,2023-02-28,di,2022-02-21 17:45:20,lsoares,2022-02-21 17:45:20,lsoares
