idtemplrel,nmcampo,nmexibicao,tprelatorio,nmvalue,sqlselect,encoding,format,valagrup
proxaca,aca.vlrecucontrapar,Subtotal,ana,vlrecusubt,,,Esgn_Formata::valor,
proxaca,aca.vlrecuentidecon,Contrapartida Econômica,ana,vlrecuceco,,,Esgn_Formata::valor,
proxaca,aca.vlrecuentidfina,Contrapartida Financeira,ana,vlrecucfin,,,Esgn_Formata::valor,
proxaca,aca.vlrecutotal,Total,ana,vlrecutota,,,Esgn_Formata::valor,
proxaca,adtfim,Ação - Término,ana,dtfim,aca.dtfim AS adtfim,,Esgn_Formata::data,
proxaca,cdd.iduf,Projeto - UF,amb,uf,,,,ufp
proxaca,cdd.nmcidade,Projeto - Cidade,amb,cidad,,,,"epp, cha, ufp, gpr"
proxaca,epp.nmchamada,Entidade Proponente - Chamada,amb,cham,,,,"epp, cha, ufp, gpr"
proxaca,epp.nmentidade,Entidade Proponente - Nome,amb,nmentprop,,utf8_decode,,"epp, cha, ufp, gpr"
proxaca,nuc.nmnucleo,Núcleo Setorial,ana,nucleo,,utf8_decode,,
proxaca,pro.dtfim,Projeto - Data Fim,ana,pdtfim,,,Esgn_Formata::data,
proxaca,pro.dtini,Projeto - Data Início,ana,pdtini,,,Esgn_Formata::data,
proxaca,pro.flstatus,Projeto - Status,amb,status,,,Esgn_Arrays::stProjeto,"epp, cha, ufp, gpr"
proxaca,pro.nmprojeto,Projeto - Nome,ana,proj,,utf8_decode,,
proxaca,qstacao.qtdacao,Quantidade de Ações,sin,qtdaca,,,,
proxaca,qtdacaoand,Ações em andamento,sin,acaoand,"SUM(CASE WHEN aca.stacao = 'and' THEN 1 ELSE 0 END) AS qtdacaoand",,,"epp, cha, ufp, gpr"
proxaca,qtdacaoatr,Ações atrasadas,sin,acaoatr,"SUM(CASE WHEN aca.stacao = 'atr' THEN 1 ELSE 0 END) AS qtdacaoatr",,,"epp, cha, ufp, gpr"
proxaca,qtdacaocon,Ações concluídas,sin,acaocon,"SUM(CASE WHEN aca.stacao = 'con' THEN 1 ELSE 0 END) AS qtdacaocon",,,"epp, cha, ufp, gpr"
proxaca,qtdacaoini,Ações a iniciar,sin,acaoini,"SUM(CASE WHEN aca.stacao = 'ini' THEN 1 ELSE 0 END) AS qtdacaoini",,,"epp, cha, ufp, gpr"
proxaca,qtdacaored,Ações redefinidas,sin,acaored,"SUM(CASE WHEN aca.stacao = 'red' THEN 1 ELSE 0 END) AS qtdacaored",,,"epp, cha, ufp, gpr"
proxaca,totalpro,Quantidade de Projetos,sin,qtdpro,COUNT(DISTINCT pro.idprojeto) AS totalproj,,,"epp, cha, ufp, gpr"
proxaca,usu.nmusuario,Projeto - Gestor,amb,nmgest,,utf8_decode,,gpr
