idprojeto,idnucleo,data_inclusao,usuario_inclusao,data_atualizacao,usuario_alteracao
122,22527,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
122,22637,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
122,22639,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
122,22640,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
122,22951,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
122,22972,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
123,22524,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
123,22638,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
123,22642,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
123,22648,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
123,22905,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
123,22906,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
124,22536,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
124,22631,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
124,22663,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
124,22833,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
124,22834,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
124,22931,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
125,22567,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
125,22613,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
125,22619,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
125,22697,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
125,22841,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
125,22928,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
126,22537,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
126,22771,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
126,22873,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
126,22874,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
126,22942,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
126,23009,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
127,22539,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
127,22785,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
127,22811,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
127,22868,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
127,22870,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
127,23005,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
128,22525,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
128,22719,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
128,22720,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
128,22722,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
128,22765,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
128,23048,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
128,23049,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
129,22533,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
129,22666,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
129,22669,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
129,22866,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
