idprojeto,identidadeprop,data_inclusao,usuario_inclusao,data_atualizacao,usuario_alteracao,tipo_vinculo
2044,11788,2023-02-17 17:22:19,nmabeck,2023-02-17 17:22:19,nmabeck,3
2044,11793,2023-02-17 17:22:19,nmabeck,2023-02-17 17:22:19,nmabeck,2
2044,11612,2023-02-17 17:22:19,nmabeck,2023-02-17 17:22:19,nmabeck,2
2038,11612,2023-02-17 17:28:08,nmabeck,2023-02-17 17:28:08,nmabeck,1
2038,11612,2023-02-17 17:28:08,nmabeck,2023-02-17 17:28:08,nmabeck,4
2032,3458,2022-08-09 07:39:02,renato.rossi,2022-08-09 07:39:02,renato.rossi,1
2032,3458,2022-08-09 07:39:02,renato.rossi,2022-08-09 07:39:02,renato.rossi,4
2032,3458,2022-08-09 07:39:02,renato.rossi,2022-08-09 07:39:02,renato.rossi,2
2032,11793,2022-08-09 07:39:02,renato.rossi,2022-08-09 07:39:02,renato.rossi,2
505,11784,2022-08-11 12:03:18,Mluiza,2022-08-11 12:03:18,Mluiza,1
506,11784,2022-08-11 12:04:27,Mluiza,2022-08-11 12:04:27,Mluiza,1
507,11784,2022-08-11 12:05:21,Mluiza,2022-08-11 12:05:21,Mluiza,1
511,11775,2022-08-11 12:10:05,Mluiza,2022-08-11 12:10:05,Mluiza,1
510,11775,2022-08-11 12:10:59,Mluiza,2022-08-11 12:10:59,Mluiza,1
2038,11788,2023-02-17 17:28:08,nmabeck,2023-02-17 17:28:08,nmabeck,3
2038,11793,2023-02-17 17:28:08,nmabeck,2023-02-17 17:28:08,nmabeck,2
2038,11612,2023-02-17 17:28:08,nmabeck,2023-02-17 17:28:08,nmabeck,2
2027,11793,2022-09-12 15:35:25,nmabeck,2022-09-12 15:35:25,nmabeck,1
2027,11793,2022-09-12 15:35:25,nmabeck,2022-09-12 15:35:25,nmabeck,2
189,11793,2022-09-22 08:16:53,renato.rossi,2022-09-22 08:16:53,renato.rossi,1
1242,11612,2022-09-30 14:58:52,renato.rossi,2022-09-30 14:58:52,renato.rossi,1
1242,11612,2022-09-30 14:58:52,renato.rossi,2022-09-30 14:58:52,renato.rossi,4
2033,2593,2022-10-25 08:21:52,gabriel.lima,2022-10-25 08:21:52,gabriel.lima,1
2033,2593,2022-10-25 08:21:52,gabriel.lima,2022-10-25 08:21:52,gabriel.lima,4
2033,2593,2022-10-25 08:21:52,gabriel.lima,2022-10-25 08:21:52,gabriel.lima,2
2033,11793,2022-10-25 08:21:52,gabriel.lima,2022-10-25 08:21:52,gabriel.lima,2
1001,11800,2022-10-28 09:56:22,renato.rossi,2022-10-28 09:56:22,renato.rossi,1
1001,11800,2022-10-28 09:56:22,renato.rossi,2022-10-28 09:56:22,renato.rossi,4
2031,11793,2023-03-25 08:55:26,renato.rossi,2023-03-25 08:55:26,renato.rossi,1
2031,11793,2023-03-25 08:55:26,renato.rossi,2023-03-25 08:55:26,renato.rossi,4
